TestID,Scenario,SortMode,BiasFactor,BiasCap,VoxelSize,TileSize,AvgLength,Cohesion,TimeMs
1,Lonely Tree,Alvo,0.50,0.01,0.020,16,22.15,10.3777,73
2,Lonely Tree,Alvo,0.50,0.01,0.020,32,20.66,10.7328,14
3,Lonely Tree,Alvo,0.50,0.01,0.020,64,19.77,11.2105,4
4,Lonely Tree,Alvo,0.50,0.01,0.020,128,19.68,13.0741,1
5,Lonely Tree,Alvo,0.50,0.01,0.050,16,21.32,11.9880,10
6,Lonely Tree,Alvo,0.50,0.01,0.050,32,19.65,11.6444,2
7,Lonely Tree,Alvo,0.50,0.01,0.050,64,19.39,12.0417,0
8,Lonely Tree,Alvo,0.50,0.01,0.050,128,19.46,13.5714,0
9,Lonely Tree,Alvo,0.50,0.01,0.100,16,19.67,11.3913,2
10,Lonely Tree,Alvo,0.50,0.01,0.100,32,19.38,12.0417,0
11,Lonely Tree,Alvo,0.50,0.01,0.100,64,19.45,13.5714,0
12,Lonely Tree,Alvo,0.50,0.01,0.100,128,19.33,14.7500,0
13,Lonely Tree,Alvo,0.50,0.01,0.160,16,19.65,13.0741,1
14,Lonely Tree,Alvo,0.50,0.01,0.160,32,19.89,14.2857,3
15,Lonely Tree,Alvo,0.50,0.01,0.160,64,23.50,13.4000,0
16,Lonely Tree,Alvo,0.50,0.01,0.160,128,19.50,14.6250,0
17,Lonely Tree,Alvo,0.50,0.50,0.020,16,22.15,10.3777,71
18,Lonely Tree,Alvo,0.50,0.50,0.020,32,20.66,10.7328,15
19,Lonely Tree,Alvo,0.50,0.50,0.020,64,19.77,11.2105,4
20,Lonely Tree,Alvo,0.50,0.50,0.020,128,19.68,13.0741,1
21,Lonely Tree,Alvo,0.50,0.50,0.050,16,21.30,11.7059,17
22,Lonely Tree,Alvo,0.50,0.50,0.050,32,19.60,11.1489,2
23,Lonely Tree,Alvo,0.50,0.50,0.050,64,19.39,12.0417,0
24,Lonely Tree,Alvo,0.50,0.50,0.050,128,19.42,13.5000,0
25,Lonely Tree,Alvo,0.50,0.50,0.100,16,19.67,11.3913,2
26,Lonely Tree,Alvo,0.50,0.50,0.100,32,19.38,12.0417,0
27,Lonely Tree,Alvo,0.50,0.50,0.100,64,19.41,13.5000,0
28,Lonely Tree,Alvo,0.50,0.50,0.100,128,19.33,14.7500,0
29,Lonely Tree,Alvo,0.50,0.50,0.160,16,19.65,13.0741,1
30,Lonely Tree,Alvo,0.50,0.50,0.160,32,20.02,12.3750,0
31,Lonely Tree,Alvo,0.50,0.50,0.160,64,23.50,12.0909,0
32,Lonely Tree,Alvo,0.50,0.50,0.160,128,19.50,14.6250,0
33,Lonely Tree,Alvo,0.50,0.75,0.020,16,22.14,10.2025,94
1,Lonely Tree,Alvo,0.50,0.01,0.020,16,22.15,10.3777,78
2,Lonely Tree,Alvo,0.50,0.01,0.020,32,20.66,10.7328,15
3,Lonely Tree,Alvo,0.50,0.01,0.020,64,19.77,11.2105,7
4,Lonely Tree,Alvo,0.50,0.01,0.020,128,19.68,13.0741,1
5,Lonely Tree,Alvo,0.50,0.01,0.050,16,21.32,11.9880,10
6,Lonely Tree,Alvo,0.50,0.01,0.050,32,19.65,11.6444,5
7,Lonely Tree,Alvo,0.50,0.01,0.050,64,19.39,12.0417,0
8,Lonely Tree,Alvo,0.50,0.01,0.050,128,19.46,13.5714,0
9,Lonely Tree,Alvo,0.50,0.01,0.100,16,19.67,11.3913,2
10,Lonely Tree,Alvo,0.50,0.01,0.100,32,19.38,12.0417,0
11,Lonely Tree,Alvo,0.50,0.01,0.100,64,19.45,13.5714,0
12,Lonely Tree,Alvo,0.50,0.01,0.100,128,19.33,14.7500,0
13,Lonely Tree,Alvo,0.50,0.01,0.160,16,19.65,13.0741,1
14,Lonely Tree,Alvo,0.50,0.01,0.160,32,19.89,14.2857,0
15,Lonely Tree,Alvo,0.50,0.01,0.160,64,23.50,13.4000,0
16,Lonely Tree,Alvo,0.50,0.01,0.160,128,19.50,14.6250,0
17,Lonely Tree,Alvo,0.50,0.50,0.020,16,22.15,10.3777,67
18,Lonely Tree,Alvo,0.50,0.50,0.020,32,20.66,10.7328,18
19,Lonely Tree,Alvo,0.50,0.50,0.020,64,19.77,11.2105,4
20,Lonely Tree,Alvo,0.50,0.50,0.020,128,19.68,13.0741,1
21,Lonely Tree,Alvo,0.50,0.50,0.050,16,21.30,11.7059,11
22,Lonely Tree,Alvo,0.50,0.50,0.050,32,19.60,11.1489,2
23,Lonely Tree,Alvo,0.50,0.50,0.050,64,19.39,12.0417,0
24,Lonely Tree,Alvo,0.50,0.50,0.050,128,19.42,13.5000,0
25,Lonely Tree,Alvo,0.50,0.50,0.100,16,19.67,11.3913,2
26,Lonely Tree,Alvo,0.50,0.50,0.100,32,19.38,12.0417,0
27,Lonely Tree,Alvo,0.50,0.50,0.100,64,19.41,13.5000,3
28,Lonely Tree,Alvo,0.50,0.50,0.100,128,19.33,14.7500,0
29,Lonely Tree,Alvo,0.50,0.50,0.160,16,19.65,13.0741,1
30,Lonely Tree,Alvo,0.50,0.50,0.160,32,20.02,12.3750,0
31,Lonely Tree,Alvo,0.50,0.50,0.160,64,23.50,12.0909,0
32,Lonely Tree,Alvo,0.50,0.50,0.160,128,19.50,14.6250,0
33,Lonely Tree,Alvo,0.50,0.75,0.020,16,22.14,10.2025,90
34,Lonely Tree,Alvo,0.50,0.75,0.020,32,20.59,10.1721,18
35,Lonely Tree,Alvo,0.50,0.75,0.020,64,19.79,11.1754,4
36,Lonely Tree,Alvo,0.50,0.75,0.020,128,19.58,10.6970,1
37,Lonely Tree,Alvo,0.50,0.75,0.050,16,21.25,11.0111,19
38,Lonely Tree,Alvo,0.50,0.75,0.050,32,19.47,9.5273,2
39,Lonely Tree,Alvo,0.50,0.75,0.050,64,19.36,10.2857,1
40,Lonely Tree,Alvo,0.50,0.75,0.050,128,19.07,13.2857,0
41,Lonely Tree,Alvo,0.50,0.75,0.100,16,19.64,10.9167,2
42,Lonely Tree,Alvo,0.50,0.75,0.100,32,19.35,10.2500,0
43,Lonely Tree,Alvo,0.50,0.75,0.100,64,19.07,13.2857,0
44,Lonely Tree,Alvo,0.50,0.75,0.100,128,19.33,14.7500,0
45,Lonely Tree,Alvo,0.50,0.75,0.160,16,19.66,11.3871,1
46,Lonely Tree,Alvo,0.50,0.75,0.160,32,19.90,12.1250,0
47,Lonely Tree,Alvo,0.50,0.75,0.160,64,23.50,11.9091,0
48,Lonely Tree,Alvo,0.50,0.75,0.160,128,19.50,14.6250,0
49,Lonely Tree,Alvo,0.50,1.00,0.020,16,20.79,3.2419,362
50,Lonely Tree,Alvo,0.50,1.00,0.020,32,19.57,3.8052,46
51,Lonely Tree,Alvo,0.50,1.00,0.020,64,19.09,5.1667,18
52,Lonely Tree,Alvo,0.50,1.00,0.020,128,19.09,8.2683,1
53,Lonely Tree,Alvo,0.50,1.00,0.050,16,19.71,3.4323,37
54,Lonely Tree,Alvo,0.50,1.00,0.050,32,19.08,5.7303,5
55,Lonely Tree,Alvo,0.50,1.00,0.050,64,18.97,7.9143,1
56,Lonely Tree,Alvo,0.50,1.00,0.050,128,19.02,13.1429,0
57,Lonely Tree,Alvo,0.50,1.00,0.100,16,19.07,5.4362,4
58,Lonely Tree,Alvo,0.50,1.00,0.100,32,18.89,7.2973,1
59,Lonely Tree,Alvo,0.50,1.00,0.100,64,19.02,13.1429,0
60,Lonely Tree,Alvo,0.50,1.00,0.100,128,19.33,14.7500,0
61,Lonely Tree,Alvo,0.50,1.00,0.160,16,19.07,7.8837,1
62,Lonely Tree,Alvo,0.50,1.00,0.160,32,19.74,12.0000,0
63,Lonely Tree,Alvo,0.50,1.00,0.160,64,23.50,11.9091,3
64,Lonely Tree,Alvo,0.50,1.00,0.160,128,19.50,14.6250,0
65,Lonely Tree,Alvo,0.75,0.01,0.020,16,22.15,10.3777,66
66,Lonely Tree,Alvo,0.75,0.01,0.020,32,20.66,10.7328,14
67,Lonely Tree,Alvo,0.75,0.01,0.020,64,19.77,11.2105,6
68,Lonely Tree,Alvo,0.75,0.01,0.020,128,19.68,13.0741,1
69,Lonely Tree,Alvo,0.75,0.01,0.050,16,21.32,11.9880,11
70,Lonely Tree,Alvo,0.75,0.01,0.050,32,19.65,11.6444,2
71,Lonely Tree,Alvo,0.75,0.01,0.050,64,19.39,12.0417,0
72,Lonely Tree,Alvo,0.75,0.01,0.050,128,19.46,13.5714,0
73,Lonely Tree,Alvo,0.75,0.01,0.100,16,19.67,11.3913,2
74,Lonely Tree,Alvo,0.75,0.01,0.100,32,19.38,12.0417,0
75,Lonely Tree,Alvo,0.75,0.01,0.100,64,19.45,13.5714,0
76,Lonely Tree,Alvo,0.75,0.01,0.100,128,19.33,14.7500,0
77,Lonely Tree,Alvo,0.75,0.01,0.160,16,19.65,13.0741,1
78,Lonely Tree,Alvo,0.75,0.01,0.160,32,19.89,14.2857,0
79,Lonely Tree,Alvo,0.75,0.01,0.160,64,23.50,13.4000,0
80,Lonely Tree,Alvo,0.75,0.01,0.160,128,19.50,14.6250,0
81,Lonely Tree,Alvo,0.75,0.50,0.020,16,22.15,10.3777,77
82,Lonely Tree,Alvo,0.75,0.50,0.020,32,20.66,10.7328,14
83,Lonely Tree,Alvo,0.75,0.50,0.020,64,19.77,11.2105,8
84,Lonely Tree,Alvo,0.75,0.50,0.020,128,19.68,13.0741,1
85,Lonely Tree,Alvo,0.75,0.50,0.050,16,21.30,11.7059,14
86,Lonely Tree,Alvo,0.75,0.50,0.050,32,19.60,11.1489,2
87,Lonely Tree,Alvo,0.75,0.50,0.050,64,19.39,12.0417,1
88,Lonely Tree,Alvo,0.75,0.50,0.050,128,19.42,13.5000,0
89,Lonely Tree,Alvo,0.75,0.50,0.100,16,19.67,11.3913,3
90,Lonely Tree,Alvo,0.75,0.50,0.100,32,19.38,12.0417,0
91,Lonely Tree,Alvo,0.75,0.50,0.100,64,19.41,13.5000,0
92,Lonely Tree,Alvo,0.75,0.50,0.100,128,19.33,14.7500,0
93,Lonely Tree,Alvo,0.75,0.50,0.160,16,19.65,13.0741,4
94,Lonely Tree,Alvo,0.75,0.50,0.160,32,20.02,12.3750,0
95,Lonely Tree,Alvo,0.75,0.50,0.160,64,23.50,12.0909,0
96,Lonely Tree,Alvo,0.75,0.50,0.160,128,19.50,14.6250,0
97,Lonely Tree,Alvo,0.75,0.75,0.020,16,22.14,10.2025,88
98,Lonely Tree,Alvo,0.75,0.75,0.020,32,20.59,10.1721,17
99,Lonely Tree,Alvo,0.75,0.75,0.020,64,19.79,11.1754,4
100,Lonely Tree,Alvo,0.75,0.75,0.020,128,19.58,10.6970,1
101,Lonely Tree,Alvo,0.75,0.75,0.050,16,21.25,11.0111,22
102,Lonely Tree,Alvo,0.75,0.75,0.050,32,19.47,9.5273,3
103,Lonely Tree,Alvo,0.75,0.75,0.050,64,19.36,10.2857,1
104,Lonely Tree,Alvo,0.75,0.75,0.050,128,19.07,13.2857,0
105,Lonely Tree,Alvo,0.75,0.75,0.100,16,19.64,10.9167,2
106,Lonely Tree,Alvo,0.75,0.75,0.100,32,19.35,10.2500,0
107,Lonely Tree,Alvo,0.75,0.75,0.100,64,19.07,13.2857,0
108,Lonely Tree,Alvo,0.75,0.75,0.100,128,19.33,14.7500,0
109,Lonely Tree,Alvo,0.75,0.75,0.160,16,19.66,11.3871,1
110,Lonely Tree,Alvo,0.75,0.75,0.160,32,19.90,12.1250,0
111,Lonely Tree,Alvo,0.75,0.75,0.160,64,23.50,11.9091,0
112,Lonely Tree,Alvo,0.75,0.75,0.160,128,19.50,14.6250,0
113,Lonely Tree,Alvo,0.75,1.00,0.020,16,20.79,3.2419,359
114,Lonely Tree,Alvo,0.75,1.00,0.020,32,19.57,3.8052,49
115,Lonely Tree,Alvo,0.75,1.00,0.020,64,19.09,5.1667,8
116,Lonely Tree,Alvo,0.75,1.00,0.020,128,19.09,8.2683,1
117,Lonely Tree,Alvo,0.75,1.00,0.050,16,19.71,3.4323,34
118,Lonely Tree,Alvo,0.75,1.00,0.050,32,19.08,5.7303,4
119,Lonely Tree,Alvo,0.75,1.00,0.050,64,18.97,7.9143,1
120,Lonely Tree,Alvo,0.75,1.00,0.050,128,19.02,13.1429,0
121,Lonely Tree,Alvo,0.75,1.00,0.100,16,19.07,5.4362,4
122,Lonely Tree,Alvo,0.75,1.00,0.100,32,18.89,7.2973,1
123,Lonely Tree,Alvo,0.75,1.00,0.100,64,19.02,13.1429,0
124,Lonely Tree,Alvo,0.75,1.00,0.100,128,19.33,14.7500,0
125,Lonely Tree,Alvo,0.75,1.00,0.160,16,19.07,7.8837,1
126,Lonely Tree,Alvo,0.75,1.00,0.160,32,19.74,12.0000,0
127,Lonely Tree,Alvo,0.75,1.00,0.160,64,23.50,11.9091,0
128,Lonely Tree,Alvo,0.75,1.00,0.160,128,19.50,14.6250,0
129,Lonely Tree,Alvo,0.90,0.01,0.020,16,22.15,10.3777,87
130,Lonely Tree,Alvo,0.90,0.01,0.020,32,20.35,8.8000,18
131,Lonely Tree,Alvo,0.90,0.01,0.020,64,19.75,8.5067,3
132,Lonely Tree,Alvo,0.90,0.01,0.020,128,19.68,13.0741,1
133,Lonely Tree,Alvo,0.90,0.01,0.050,16,21.32,11.9880,20
134,Lonely Tree,Alvo,0.90,0.01,0.050,32,19.58,9.5273,2
135,Lonely Tree,Alvo,0.90,0.01,0.050,64,19.39,12.0417,0
136,Lonely Tree,Alvo,0.90,0.01,0.050,128,19.46,13.5714,0
137,Lonely Tree,Alvo,0.90,0.01,0.100,16,19.66,9.3571,2
138,Lonely Tree,Alvo,0.90,0.01,0.100,32,19.38,12.0417,0
139,Lonely Tree,Alvo,0.90,0.01,0.100,64,19.45,13.5714,0
140,Lonely Tree,Alvo,0.90,0.01,0.100,128,19.33,14.7500,0
141,Lonely Tree,Alvo,0.90,0.01,0.160,16,19.65,13.0741,1
142,Lonely Tree,Alvo,0.90,0.01,0.160,32,19.89,14.2857,0
143,Lonely Tree,Alvo,0.90,0.01,0.160,64,23.50,13.4000,0
144,Lonely Tree,Alvo,0.90,0.01,0.160,128,19.50,14.6250,0
145,Lonely Tree,Alvo,0.90,0.50,0.020,16,22.15,10.3777,74
146,Lonely Tree,Alvo,0.90,0.50,0.020,32,20.35,8.8000,15
147,Lonely Tree,Alvo,0.90,0.50,0.020,64,19.75,8.5067,4
148,Lonely Tree,Alvo,0.90,0.50,0.020,128,19.68,13.0741,4
149,Lonely Tree,Alvo,0.90,0.50,0.050,16,21.32,11.7059,11
150,Lonely Tree,Alvo,0.90,0.50,0.050,32,19.58,9.5273,8
